user_id,played_at,song_id,title,artist_name,genre
00000000-0000-0000-0000-0000000003e9,2024-01-17 16:18:00,s036,Minor Key,The Wandering Keys,Jazz
00000000-0000-0000-0000-0000000003e9,2024-01-24 00:09:00,s034,Salt Air,Glass Harbor,Ambient
00000000-0000-0000-0000-0000000003e9,2024-02-11 15:28:00,s016,Desert Dawn,Sol Collective,Folk
00000000-0000-0000-0000-0000000003e9,2024-02-26 17:15:00,s034,Salt Air,Glass Harbor,Ambient
00000000-0000-0000-0000-0000000003e9,2024-03-19 23:53:00,s014,Glass Mural,The Velvet Underground Revival,Indie Rock
00000000-0000-0000-0000-0000000003e9,2024-03-20 10:21:00,s050,Monsoon,Desert Bloom,Folk
00000000-0000-0000-0000-0000000003e9,2024-03-24 01:33:00,s011,Pale Curtain,The Velvet Underground Revival,Indie Rock
00000000-0000-0000-0000-0000000003e9,2024-04-25 15:03:00,s038,The Cadenza,The Wandering Keys,Jazz
00000000-0000-0000-0000-0000000003e9,2024-05-29 15:58:00,s023,Latitude Blues,Midnight Atlas,Indie Rock
00000000-0000-0000-0000-0000000003e9,2024-06-03 23:49:00,s041,Dead Channel,Lunar Static,Electronic
00000000-0000-0000-0000-0000000003e9,2024-06-25 05:25:00,s044,Noise Floor,Lunar Static,Electronic
00000000-0000-0000-0000-0000000003e9,2024-07-09 17:17:00,s015,Slow Burn,The Velvet Underground Revival,Indie Rock
00000000-0000-0000-0000-0000000003e9,2024-07-14 10:09:00,s015,Slow Burn,The Velvet Underground Revival,Indie Rock
00000000-0000-0000-0000-0000000003e9,2024-08-26 15:50:00,s047,Cactus Flower,Desert Bloom,Folk
00000000-0000-0000-0000-0000000003e9,2024-10-09 18:04:00,s001,Northern Lights,Aurora Skies,Ambient
00000000-0000-0000-0000-0000000003e9,2024-10-10 00:32:00,s004,Midnight Sun,Aurora Skies,Ambient
00000000-0000-0000-0000-0000000003e9,2024-10-13 15:42:00,s020,Ochre Light,Sol Collective,Folk
